submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
08/21/2020,AZ,"196,899","195,331","1,568",619,22,"4,688","4,433",255,4,0,08/22/2020 02:21:09 PM,Agree,Agree
11/13/2020,IN,"236,565",,,"5,600",0,"4,863","4,613",250,50,0,11/14/2020 02:44:40 PM,Not agree,Agree
07/11/2020,MT,"1,677","1,677",0,84,0,29,29,0,1,0,07/12/2020 03:13:57 PM,Agree,Agree
11/14/2020,OK,"158,451","133,832","24,619",0,0,"1,537","1,488",49,0,0,11/15/2020 03:12:13 PM,Agree,Agree
02/15/2020,NE,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
09/20/2020,FSM,0,0,0,0,0,0,0,0,0,0,09/21/2020 01:47:41 PM,Agree,Agree
01/12/2021,MO,"427,117",,,"2,131",0,"6,155",,,204,0,01/13/2021 02:44:58 PM,Not agree,Not agree
11/30/2020,AL,"249,524","208,023","41,501","2,295",215,"3,578","3,246",332,1,0,12/01/2020 03:26:07 PM,Agree,Agree
04/24/2020,MT,444,444,0,0,0,14,14,0,0,0,05/25/2020 03:38:40 PM,Agree,Agree
10/04/2020,ID,"43,964","39,722","4,242",262,34,482,442,40,2,0,10/05/2020 01:49:47 PM,Agree,Agree
07/28/2020,GA,"178,676","173,066","5,610","4,399",167,"3,563","3,563",0,54,0,07/29/2020 10:34:46 AM,Agree,Agree
04/26/2020,KY,"4,074","4,074",0,169,0,208,208,0,3,0,05/25/2020 03:38:40 PM,Agree,Agree
05/02/2020,OK,"3,851","3,851",0,103,0,238,238,0,8,0,05/03/2020 03:36:03 PM,Agree,Agree
06/02/2020,NV,"8,830",,,142,0,420,,,-1,0,06/03/2020 02:11:36 PM,,
12/21/2020,AZ,"461,345","441,654","19,691","7,748",443,"7,972","7,278",694,1,0,12/22/2020 02:35:48 PM,Agree,Agree
01/01/2021,MS,"220,277","149,595","70,682","1,891","1,207","4,840","3,840","1,000",24,18,01/02/2021 02:50:51 PM,Agree,Agree
